Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-14,177.75,186.75,177.75,182.25,16012,0,0.0
2019-05-15,180.5,187.75,176.75,182.0,24916,0,0.0
2019-05-16,182.75,191.25,182.75,186.25,20484,0,0.0
2019-05-17,184.0,189.75,182.5,186.0,24908,0,0.0
2019-05-20,185.25,187.0,179.75,183.5,8040,0,0.0
2019-05-21,185.75,187.5,182.0,185.5,11640,0,0.0
2019-05-22,183.75,186.25,174.75,175.25,16988,0,0.0
2019-05-23,172.5,173.0,162.25,162.25,18908,0,0.0
2019-05-24,163.25,169.5,162.25,163.75,13700,0,0.0
2019-05-28,163.0,163.0,151.0,155.0,30872,0,0.0
2019-05-29,152.75,155.5,148.75,154.25,20472,0,0.0
2019-05-30,154.75,155.25,143.0,143.75,17448,0,0.0
2019-05-31,141.0,142.25,134.5,136.0,23128,0,0.0
2019-06-03,135.5,137.25,127.75,129.75,22780,0,0.0
2019-06-04,132.0,141.5,128.75,140.75,34056,0,0.0
2019-06-05,141.0,141.0,130.25,131.0,15484,0,0.0
2019-06-06,131.25,133.75,125.5,132.25,14088,0,0.0
2019-06-07,131.75,134.5,129.75,132.5,11036,0,0.0
2019-06-10,134.0,138.25,132.5,135.75,19212,0,0.0
2019-06-11,137.5,139.0,129.5,131.5,16508,0,0.0
2019-06-12,131.0,135.5,129.5,134.5,26496,0,0.0
2019-06-13,135.25,137.25,132.0,133.0,23684,0,0.0
2019-06-14,133.75,135.0,128.75,129.25,10456,0,0.0
2019-06-17,130.5,136.5,129.5,134.25,31440,0,0.0
2019-06-18,139.0,140.0,124.5,125.25,50680,0,0.0
2019-06-19,127.5,129.5,120.5,122.25,42388,0,0.0
2019-06-20,124.0,130.0,117.75,119.0,48460,0,0.0
2019-06-21,120.25,121.0,111.75,115.5,46736,0,0.0
2019-06-24,118.25,118.25,110.0,110.75,34328,0,0.0
2019-06-25,110.75,118.25,109.75,115.25,55084,0,0.0
2019-06-26,116.5,117.5,111.25,112.75,25700,0,0.0
2019-06-27,116.75,119.5,111.75,119.0,92368,0,0.0
2019-06-28,119.5,123.0,118.5,119.5,76672,0,0.0
2019-07-01,122.5,123.25,117.75,119.25,35916,0,0.0
2019-07-02,118.5,120.25,115.0,119.0,27216,0,0.0
2019-07-03,120.0,120.0,114.25,115.25,18392,0,0.0
2019-07-05,115.5,117.75,113.0,114.0,32872,0,0.0
2019-07-08,113.75,114.5,108.0,110.0,24736,0,0.0
2019-07-09,110.75,111.0,107.5,109.0,17164,0,0.0
2019-07-10,108.75,110.0,104.0,107.25,21284,0,0.0
2019-07-11,108.0,111.0,106.75,108.5,30668,0,0.0
2019-07-12,108.25,108.75,103.25,104.5,18784,0,0.0
2019-07-15,105.0,109.0,102.75,105.5,20724,0,0.0
2019-07-16,106.25,106.5,99.25,99.75,28668,0,0.0
2019-07-17,100.25,101.0,96.75,98.0,21476,0,0.0
2019-07-18,97.25,99.25,93.25,96.0,21512,0,0.0
2019-07-19,96.25,97.75,93.25,93.5,15092,0,0.0
2019-07-22,93.0,94.5,91.0,93.0,11184,0,0.0
2019-07-23,93.0,93.0,87.75,88.75,20864,0,0.0
2019-07-24,89.0,93.25,87.75,92.5,19228,0,0.0
2019-07-25,98.25,98.5,81.0,81.25,47788,0,0.0
2019-07-26,78.0,80.0,74.0,79.5,44156,0,0.0
2019-07-29,79.25,82.5,74.5,75.0,28976,0,0.0
2019-07-30,75.25,77.25,71.5,74.5,19556,0,0.0
2019-07-31,74.25,74.5,61.0,64.75,85016,0,0.0
2019-08-01,64.75,70.0,62.25,63.0,50576,0,0.0
2019-08-02,63.0,65.0,60.5,60.5,19092,0,0.0
2019-08-05,58.75,62.25,57.5,61.0,24196,0,0.0
2019-08-06,62.0,63.75,58.5,60.5,14136,0,0.0
2019-08-07,60.0,63.5,59.0,61.25,19312,0,0.0
2019-08-08,62.0,63.0,56.25,57.0,21348,0,0.0
2019-08-09,57.75,58.75,56.5,57.25,16352,0,0.0
2019-08-12,53.75,59.25,53.0,57.0,37764,0,0.0
2019-08-13,57.0,61.25,53.5,59.75,31440,0,0.0
2019-08-14,60.75,62.5,58.5,60.75,23920,0,0.0
2019-08-15,57.25,58.0,54.0,54.25,17984,0,0.0
2019-08-16,54.5,58.0,54.5,55.0,18056,0,0.0
2019-08-19,56.25,56.75,53.75,55.75,14944,0,0.0
2019-08-20,56.0,56.5,54.75,54.75,6528,0,0.0
2019-08-21,55.0,55.75,53.25,55.0,7696,0,0.0
2019-08-22,55.5,55.75,51.0,51.0,17688,0,0.0
2019-08-23,50.75,52.0,45.5,45.75,19528,0,0.0
2019-08-26,47.75,48.5,45.5,47.0,11772,0,0.0
2019-08-27,47.25,47.25,43.25,43.25,13316,0,0.0
2019-08-28,43.25,45.75,42.75,44.75,14976,0,0.0
2019-08-29,45.25,46.5,43.75,45.5,6072,0,0.0
2019-08-30,46.0,46.25,36.5,38.5,43904,0,0.0
2019-09-03,49.25,83.25,46.25,73.5,925280,0,0.0
2019-09-04,68.25,74.25,64.0,74.25,196520,0,0.0
2019-09-05,73.0,76.25,70.25,75.25,68336,0,0.0
2019-09-06,74.75,84.75,71.25,74.5,114560,0,0.0
2019-09-09,74.5,76.25,69.5,75.25,35508,0,0.0
2019-09-10,75.0,80.5,72.0,79.25,36016,0,0.0
2019-09-11,80.25,83.25,76.0,78.0,36180,0,0.0
