,Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
266,PHOENIXFIN,17.9,-4.79,18.9,17.5,17.9,18.8,-0.9,278,7.87,430387
267,PHPMF1,5.3,-1.85,5.4,5.3,5.3,5.4,-0.1,138,2.04,384865
268,PIONEERINS,71.6,-0.14,72.0,71.5,71.6,71.7,-0.1,217,7.43,103851
269,POPULAR1MF,5.2,-1.89,5.4,5.2,5.2,5.3,-0.1,79,6.05,1146961
270,POPULARLIF,69.4,-0.86,71.6,69.0,69.4,70.0,-0.6,378,9.27,131918
271,POWERGRID,52.4,-0.57,53.0,52.4,52.4,52.7,-0.3,600,44.35,845700
272,PRAGATIINS,59.6,0.17,60.4,59.4,59.6,59.5,0.1,86,1.21,20199
273,PRAGATILIF,70.4,-0.85,75.0,70.4,70.4,71.0,-0.6,90,2.49,34395
274,PREMIERBAN,13.1,-2.96,13.5,13.0,13.1,13.5,-0.4,292,16.43,1237252
275,PREMIERCEM,44.9,-1.32,46.0,44.8,44.9,45.5,-0.6,251,7.1,156473
276,PREMIERLEA,7.3,-5.19,7.8,7.1,7.3,7.7,-0.4,218,4.66,624014
277,PRIME1ICBA,7.7,0.0,7.8,7.7,7.7,7.7,0.0,6,0.22,28423
278,PRIMEBANK,18.9,-2.07,19.4,18.9,18.9,19.3,-0.4,97,1.97,103885
279,PRIMEFIN,12.2,-4.69,12.8,12.1,12.2,12.8,-0.6,563,20.37,1646765
280,PRIMEINSUR,82.8,0.0,82.8,82.8,82.8,82.8,0.0,5,0.92,11065
281,PRIMELIFE,54.7,-0.55,55.9,54.7,54.7,55.0,-0.3,55,1.28,23344
282,PRIMETEX,41.2,0.0,41.2,41.2,41.2,41.2,0.0,29,0.68,16453
283,PROGRESLIF,0.0,0.0,0.0,0.0,0.0,77.4,0.0,0,0.0,0
284,PROVATIINS,58.9,-0.34,59.6,58.9,58.9,59.1,-0.2,656,19.59,331849
